Location,No. of visitors
Sigiriya,"633,055"
Polonnaruwa,"84,416"
Anuradhapura,"54,638"
Galle,"62,975"
Kataragama,"23,756"
Dambulla,"1,011"
Kandy,"3,854"
Apegama,"63,812"
Ritigala,"49,432"
