Location,No. of visitors
Sigiriya,"682,646"
Polonnaruwa,"84,418"
Anuradhapura,"46,951"
Galle,"67,248"
Kataragama,"12,737"
Dambulla,"1,698"
Kandy,"3,493"
Apegama,"118,950"
Ritigala,"45,647"
Ibbankatuwa,"29,170"
