Location,No. of visitors
Sigiriya,"766,815"
Polonnaruwa,"83,920"
Anuradhapura,"47,436"
Galle,"54,340"
Kataragama,"10,918"
Dambulla,"1,267"
Kandy,"6,335"
Apegama,"114,550"
Ritigala,"57,128"
Ibbankatuwa,"32,131"
Namal Uyana,"37,850"
