Location,No. of Foreign Tourists,No. of Domestic Tourists
Dehiwala,"27,626","1,360,566"
Pinnawala,"339,744","611,584"
Pinnawala Zoo,"1,559","253,266"
Ridiyagama Safari Park,756,"290,854"
