Location,No. of Foreign Tourists,No. of Domestic Tourists
Dehiwala,"30,902","1,537,694"
Pinnawala,"337,662","588,266"
Pinnawala Zoo,"3,788","301,699"
Ridiyagama Safari Park,754,"296,576"
