Resort Region,Jan ,Feb ,Mar ,Apr ,May ,Jun ,Jul ,Aug ,Sep ,Oct ,Nov ,Dec ,
Colombo City ,19395,17468,18889,15996,21072,19305,18856,22613,19888,21420,20756,24901,
Greater Colombo ,21698,18842,21287,18567,20931,20813,21415,22521,22155,21282,22072,22921,
I. North of Colombo ,15263,12294,14612,12839,13883,14337,15040,15469,15320,14520,14973,15746,
II. South of Colombo  ,6435,6548,6675,5728,7048,6476,6375,7052,6835,6762,7099,7175,
South Coast ,49320,49118,44546,44013,45644,45905,46314,48352,51016,47002,48071,53609,
I. Upto Galle ,28961,29452,25730,26079,28341,26314,26934,28759,30179,28310,29480,32300,
II. Beyond Galle ,20359,19666,18816,17934,17303,19591,19380,19593,20837,18692,18591,21309,
East Coast ,14458,16575,15244,13666,13934,15325,14139,16230,16191,14978,13981,15428,
High Country ,8936,9659,9868,8920,9243,10371,8527,9765,10253,9553,9494,10504,
Ancient Cities ,35797,36743,35148,33664,32033,35417,34106,39018,38310,35135,38214,38975,
I. Kandy Area ,13998,14324,14354,12672,12679,13223,12855,15410,15127,13195,14765,15452,
II. Anuradhapura Area ,5554,6034,5236,4942,5061,5469,5041,6059,5881,5151,5636,6003,
III. Polonnaruwa / Giritale ,4662,5027,4527,4395,3929,4300,4406,4836,5202,4469,4686,4979,
IV. Habarana/Sig./Damb. ,11583,11358,11031,11655,10364,12425,11804,12713,12100,12320,13127,12541,
Northern Region ,638,756,749,825,755,959,636,792,807,795,767,887,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
, ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,, , , , , , , , , , , , 
