Location,No. of Foreign Tourists,No. of Domestic Tourists
Yala National Park,"290,069","314,609"
Wilpattu National Park,"24,247","46,613"
Kumana National Park,"7,251","31,494"
Udawalawa National Park,"159,532","170,849"
Horton Plains National Park,"121,725","313,579"
Bundala National Park,"10,947","11,860"
Wasgamuwa National Park,"2,420","29,189"
Minneriya National Park,"89,499","92,999"
Kaudulla National Park,"121,794","107,961"
Lunugamvehera National Park,"3,344","5,787"
Gal Oya National Park,"3,782","11,169"
Horagolla National Park,10,"5,478"
Maduru Oya National Park,304,"2,984"
Angammedilla National Park,8,"3,478"
Galwaysland National Park,280,"6,085"
Lahugala National Park,30,296
Pigeon Island National Park,"25,128","79,531"
Hikkaduwa National Park,"2,508","23,270"
Bareef Kalpitiya,"3,837","9,578"
Eth Athuru Sevana,"67,877","163,580"
Kalawewa,41,425
