Location,No. of Foreign Tourists,No. of Domestic Tourists
Yala National Park,"272,835","385,442"
Wilpattu National Park,"16,578","38,663"
Kumana National Park,"6,431","27,790"
Udawalawa National Park,"127,778","152,938"
Horton Plains National Park,"131,670","319,999"
Bundala National Park,"9,853","9,975"
Wasgamuwa National Park,"1,253","27,532"
Minneriya National Park,"76,629","83,319"
Kaudulla National Park,"37,004","39,401"
Lunugamvehera National Park,"13,824","17,763"
Gal Oya National Park,"2,072","10,835"
Horagolla National Park,16,"5,613"
Maduru Oya National Park,199,866
Angammedilla National Park,1,"3,290"
Galwaysland National Park,198,"3,345"
Lahugala National Park,22,499
Pigeon Island National Park,"25,862","76,288"
Hikkaduwa National Park,"3,020","25,922"
Bareef Kalpitiya,"3,266","9,054"
lanthadiya,"2,165","6,316"
Eth Athuru Sevana,"52,594","161,111"
Handagiriya,13,148
Kalawewa,0,4
