Location,No. of Foreign Tourists,No. of Domestic Tourists
Yala National Park,"173,449","239,985"
Wilpattu National Park,"14,621","40,161"
Kumana National Park,"3,621","16,849"
Udawalawa National Park,"58,041","76,661"
Horton Plains National Park,"69,979","198,274"
Bundala National Park,"9,210","9,290"
Wasgamuwa National Park,933,"17,548"
Minneriya National Park,"69,894","76,195"
Kaudulla National Park,"24,519","22,644"
Lunugamvehera National Park,"3,855","6,357"
Gal Oya National Park,377,"3,135"
Horagolla National Park,11,"4,848"
Maduru Oya National Park,112,761
Angammedilla National Park,5,"1,833"
Galwaysland National Park,84,"1,669"
Lahugala National Park,15,201
Pigeon Island National Park,"14,793","44,084"
Hikkaduwa National Park,"7,519","29,879"
Bareef Kalpitiya,"3,015","8,272"
