Location,No. of Foreign Tourists,No. of Domestic Tourists
Yala National Park,"236,217","308,790"
Wilpattu National Park,"19,505","49,068"
Kumana National Park,"4,920","21,996"
Udawalawa National Park,"89,116","113,424"
Horton Plains National Park,"87,962","228,858"
Bundala National Park,"8,619","8,663"
Wasgamuwa National Park,"1,069","20,338"
Minneriya National Park,"61,683","65,203"
Kaudulla National Park,"15,959","15,058"
Lunugamvehera National Park,"3,539","6,808"
Gal Oya National Park,"1,384","5,059"
Horagolla National Park,13,"5,019"
Maduru Oya National Park,142,863
Angammedilla National Park,6,"2,041"
Galwaysland National Park,49,"2,047"
Lahugala National Park,10,234
Pigeon Island National Park,"19,069","58,774"
Hikkaduwa National Park,"4,480","25,041"
Bareef Kalpitiya,"4,779","13,269"
