Location,No. of Foreign Tourists,No. of Domestic Tourists
Yala National Park,"142,714","236,700"
Wilpattu National Park,"48,827","170,966"
Kumana National Park,"41,487","70,927"
Udawalawa National Park,934,"20,402"
Horton Plains National Park,"34,065","46,511"
Bundala National Park,"6,947","9,124"
Wasgamuwa National Park,9,"6,737"
Minneriya National Park,"15,775","20,539"
Kaudulla National Park,740,"4,101"
Lunugamvehera National Park,165,"2,626"
Gal Oya National Park,"3,105","14,027"
Horagolla National Park,0,"1,358"
Maduru Oya National Park,154,"1,730"
Angammedilla National Park,"8,846","37,705"
Galwaysland National Park,29,"1,084"
Lahugala National Park,59,243
Pigeon Island National Park,"12,886","38,978"
Hikkaduwa National Park,"5,968","26,817"
Bareef Kalpitiya,"2,443","8,494"
