Location,No. of Foreign Tourists,No. of Domestic Tourists
Yala National Park,"121,735","217,898"
Wilpattu National Park,"5,417","29,689"
Kumana National Park,"1,958","18,644"
Udawalawa National Park,"23,082","52,995"
Horton Plains National Park,"39,123","184,744"
Bundala National Park,"4,853","6,397"
Wasgamuwa National Park,812,"22,891"
Minneriya National Park,"25,020","37,833"
Kaudulla National Park,"6,443","8,930"
Lunugamvehera National Park,48,"3,115"
Gal Oya National Park,332,"2,523"
Horagolla National Park,2,"6,637"
Maduru Oya National Park,21,716
Angammedilla National Park,0,"1,536"
Galwaysland National Park,82,"1,521"
Lahugala National Park,110,314
Pigeon Island National Park,"8,437","36,646"
Hikkaduwa National Park,"7,050","40,506"
