Location,No. of Foreign Tourists,No. of Domestic Tourists
Peradeniya,"435,577","1,206,223"
Hakgala,"29,192","956,815"
Gampaha,365,"214,831"
Mirijjawila,138,"62,491"
Avissawella,133,"152,882"
