Location,No. of Foreign Tourists,No. of Domestic Tourists
Peradeniya,"412,660","1,112,496"
Hakgala,"26,858","816,801"
Gampaha,333,"192,934"
Mirijjawila,153,"73,703"
Avissawella,203,"201,413"
