Location,No. of Foreign Tourists,No. of Domestic Tourists
Peradeniya,"431,199","1,109,125"
Hakgala,"31,626","782,581"
Gampaha,385,"157,698"
Mirijjawila,275,"80,822"
Avissawella,210,"234,423"
