Location,No. of Foreign Tourists,No. of Domestic Tourists
Peradeniya,"382,931","1,168,928"
Hakgala,"24,188","742,133"
Gampaha,344,"201,746"
Mirijjawila,47,"41,051"
Avissawella,43,"61,844"
