Museums,No. of Foreign Tourists,No. of Domestic Tourists
Colombo National Museum,"25,689","193,472"
National History Museum,909,"36,083"
Kandy National Museum,"3,057","29,466"
Ratnapura National Museum,111,"16,646"
Galle National Museum,"2,673","24,846"
Anuradhapura Folk. Museum,69,"4,548"
Dutch Museum,"1,119","4,423"
Galle Maritime Museum,"2,822","39,409"
Independence Memorial Museum,856,"29,231"
,,
