Museums,No. of Foreign Tourists,No. of Domestic Tourists
Colombo National Museum,"42,756","207,577"
National History Museum,899,"59,505"
Kandy National Museum,"2,723","19,387"
Ratnapura National Museum,107,"19,054"
Galle National Museum,"4,067","29,109"
Anuradhapura Folk. Museum,120,"4,649"
Dutch Museum,"2,477","5,062"
Galle Maritime Museum,"3,787","39,896"
Independence Memorial Museum,668,"29,336"
,,
