Museums,No. of Foreign Tourists,No. of Domestic Tourists
Colombo National Museum,"46,643","166,092"
National History Museum,"5,303","64,887"
Kandy National Museum,0,0
Ratnapura National Museum,135,"28,327"
Galle National Museum,174,"1,059"
Anuradhapura Folk. Museum,169,"7,305"
Dutch Museum,"4,090","5,510"
Galle Maritime Museum,"2,925","40,780"
Independence Memorial Museum,501,"26,607"
Hambanthota National Museum,42,"1,987"
