Museums,No. of Foreign Tourists,No. of Domestic Tourists
Colombo National Museum,"23,093","235,768"
National History Museum,787,"48,164"
Kandy National Museum,"1,141","26,168"
Ratnapura National Museum,99,"15,342"
Galle National Museum,"1,887","22,365"
Anuradhapura Folk. Museum,79,"2,688"
Dutch Museum,"1,689","4,778"
Galle Maritime Museum,"1,899","35,052"
Independence Memorial Museum,422,"25,254"
,,
