Museums,No. of Foreign Tourists,No. of Domestic Tourists
Colombo National Museum,"32,392","192,520"
National History Museum,"1,471","59,653"
Kandy National Museum,"3,252","20,742"
Ratnapura National Museum,99,"12,551"
Galle National Museum,"2,939","21,616"
Anuradhapura Folk. Museum,117,"4,795"
Dutch Museum,767,"4,308"
Galle Maritime Museum,"3,111","32,373"
Independence Memorial Museum,"6,036","26,873"
,,
