Museums,No. of Foreign Tourists,No. of Domestic Tourists
Colombo National Museum,"64,846","215,527"
National History Museum,"6,492","89,569"
Kandy National Museum,"3,729","18,181"
Ratnapura National Museum,0,0
Galle National Museum,"5,560","26,141"
Anuradhapura Folk. Museum,151,"7,998"
Dutch Museum,0,0
Galle Maritime Museum,"3,566","32,098"
Independence Memorial Museum,"1,136","29,221"
Hambanthota National Museum,71,"1,552"
