Museums,No. of Foreign Tourists,No. of Domestic Tourists
Colombo National Museum,"55,259","215,155"
National History Museum,"5,447","64,994"
Kandy National Museum,"1,955","13,451"
Ratnapura National Museum,60,"20,326"
Galle National Museum,0,0
Anuradhapura Folk. Museum,149,"9,715"
Dutch Museum,"1,605","1,956"
Galle Maritime Museum,"2,942","45,196"
Independence Memorial Museum,648,"25,659"
Hambanthota National Museum,42,"1,218"
