Museums,No. of Foreign Tourists,No. of Domestic Tourists
Colombo National Museum,"41,116","162,287"
National History Museum,"2,403","44,156"
Kandy National Museum,0,0
Ratnapura National Museum,140,"22,269"
Galle National Museum,"4,958","26,972"
Anuradhapura Folk. Museum,180,"5,783"
Dutch Museum,"3,302","5,367"
Galle Maritime Museum,"4,142","37,191"
Independence Memorial Museum,488,"24,031"
Hambanthota National Museum,18,"1,853"
