,Date,TrueCloudcover,PredictedCloudcover
0,2020-01-01,0,60.819454193115234
1,2020-01-02,0,36.838741302490234
2,2020-01-03,0,29.56024932861328
3,2020-01-04,0,25.365686416625977
4,2020-01-05,0,22.907373428344727
5,2020-01-06,0,27.514976501464844
6,2020-01-07,0,22.105356216430664
7,2020-01-08,0,26.671546936035156
8,2020-01-09,0,30.678176879882812
9,2020-01-10,0,32.35894012451172
10,2020-01-11,0,45.706783294677734
11,2020-01-12,0,48.492549896240234
12,2020-01-13,0,45.73300552368164
13,2020-01-14,0,38.899139404296875
14,2020-01-15,0,59.452415466308594
15,2020-01-16,0,45.14530563354492
16,2020-01-17,0,36.321224212646484
17,2020-01-18,0,15.88021183013916
18,2020-01-19,0,7.182478904724121
19,2020-01-20,0,4.679524898529053
20,2020-01-21,0,27.636707305908203
21,2020-01-22,0,16.599689483642578
22,2020-01-23,0,22.77229118347168
23,2020-01-24,0,25.60407829284668
24,2020-01-25,0,36.08740997314453
25,2020-01-26,0,42.05495834350586
26,2020-01-27,0,36.88471984863281
27,2020-01-28,0,31.64948844909668
28,2020-01-29,0,9.936529159545898
29,2020-01-30,0,10.327413558959961
30,2020-01-31,0,10.494407653808594
31,2020-02-01,0,25.2053165435791
32,2020-02-02,0,21.452198028564453
33,2020-02-03,0,52.649051666259766
34,2020-02-04,0,61.94620132446289
35,2020-02-05,0,48.31508255004883
36,2020-02-06,0,46.961456298828125
37,2020-02-07,0,35.66938781738281
38,2020-02-08,0,59.65108871459961
39,2020-02-09,0,60.2144775390625
40,2020-02-10,0,42.76499557495117
41,2020-02-11,0,53.20351791381836
42,2020-02-12,0,42.61980056762695
43,2020-02-13,0,38.37113571166992
44,2020-02-14,0,45.76559066772461
45,2020-02-15,0,53.97615432739258
46,2020-02-16,0,56.955482482910156
47,2020-02-17,0,56.45595932006836
48,2020-02-18,0,51.885986328125
49,2020-02-19,0,52.39304733276367
50,2020-02-20,0,48.45636749267578
51,2020-02-21,0,45.47562789916992
52,2020-02-22,0,31.974939346313477
53,2020-02-23,0,27.685043334960938
54,2020-02-24,0,28.57540512084961
55,2020-02-25,0,32.79608154296875
56,2020-02-26,0,42.13551330566406
57,2020-02-27,0,68.35884094238281
58,2020-02-28,0,50.90367889404297
59,2020-02-29,0,38.9193229675293
60,2020-03-01,0,26.385635375976562
61,2020-03-02,0,38.70628356933594
62,2020-03-03,0,51.714561462402344
63,2020-03-04,0,57.25237274169922
64,2020-03-05,0,54.705894470214844
65,2020-03-06,0,42.36723709106445
66,2020-03-07,0,48.89096450805664
67,2020-03-08,0,57.42404556274414
68,2020-03-09,0,47.99651336669922
69,2020-03-10,0,19.629169464111328
70,2020-03-11,0,56.061683654785156
71,2020-03-12,0,83.05867004394531
72,2020-03-13,0,45.130165100097656
73,2020-03-14,0,70.52709197998047
74,2020-03-15,0,39.875450134277344
75,2020-03-16,0,62.19261932373047
76,2020-03-17,0,69.9656753540039
77,2020-03-18,0,55.06919479370117
78,2020-03-19,0,50.45135498046875
79,2020-03-20,0,57.63894271850586
80,2020-03-21,0,45.68886184692383
81,2020-03-22,0,43.83177947998047
82,2020-03-23,0,48.30348587036133
83,2020-03-24,0,28.341754913330078
84,2020-03-25,0,20.02013397216797
85,2020-03-26,0,18.919870376586914
86,2020-03-27,0,23.79851722717285
87,2020-03-28,0,11.958545684814453
88,2020-03-29,0,27.939373016357422
89,2020-03-30,0,26.327857971191406
90,2020-03-31,0,25.033451080322266
91,2020-04-01,0,22.78099250793457
92,2020-04-02,0,32.59112548828125
93,2020-04-03,0,34.951541900634766
94,2020-04-04,0,6.871995449066162
95,2020-04-05,0,20.6903018951416
96,2020-04-06,0,26.016075134277344
97,2020-04-07,0,28.24111557006836
98,2020-04-08,0,27.293317794799805
99,2020-04-09,0,79.7495346069336
100,2020-04-10,0,69.11006927490234
101,2020-04-11,0,43.36153030395508
102,2020-04-12,0,55.7904052734375
103,2020-04-13,0,43.77201843261719
104,2020-04-14,0,73.0947036743164
105,2020-04-15,0,68.10159301757812
106,2020-04-16,0,59.23412322998047
107,2020-04-17,0,55.87612533569336
108,2020-04-18,0,60.32405090332031
109,2020-04-19,0,63.946319580078125
110,2020-04-20,0,58.065826416015625
111,2020-04-21,0,60.499942779541016
112,2020-04-22,0,57.248722076416016
113,2020-04-23,0,54.76236343383789
114,2020-04-24,0,66.29983520507812
115,2020-04-25,0,66.57452392578125
116,2020-04-26,0,63.02096939086914
117,2020-04-27,0,63.43520736694336
118,2020-04-28,0,67.4067153930664
119,2020-04-29,0,71.23686981201172
120,2020-04-30,0,73.81880187988281
121,2020-05-01,0,71.21556091308594
122,2020-05-02,0,73.44042205810547
123,2020-05-03,0,77.89859008789062
124,2020-05-04,0,75.46772003173828
125,2020-05-05,0,62.648128509521484
126,2020-05-06,0,68.70623016357422
127,2020-05-07,0,64.46418762207031
128,2020-05-08,0,55.76393127441406
129,2020-05-09,0,70.45384979248047
130,2020-05-10,0,58.12675476074219
131,2020-05-11,0,72.45536804199219
132,2020-05-12,0,70.26239013671875
133,2020-05-13,0,70.99589538574219
134,2020-05-14,0,67.83418273925781
135,2020-05-15,0,70.90367126464844
136,2020-05-16,0,69.0001220703125
137,2020-05-17,0,69.33976745605469
138,2020-05-18,0,72.94007110595703
139,2020-05-19,0,75.41474914550781
140,2020-05-20,0,71.07218170166016
141,2020-05-21,0,58.24460983276367
142,2020-05-22,0,53.189064025878906
143,2020-05-23,0,62.747161865234375
144,2020-05-24,0,65.57222747802734
145,2020-05-25,0,68.98226928710938
