Year,No. of Foreign Tourists,No. of Domestic Tourists
2011,"239,920","660,796"
2012,"592,980","650,524"
2013,"504,699","591,938"
2014,"627,136","547,163"
2015,"722,676","681,459"
2016,"905,333","976,949"
2017,"905,333","1,092,958"
2018,"979,171","1,174,840"
