,Date,TrueTemp,PredictedTemp
0,2020-01-01,0,30.304784774780273
1,2020-01-02,0,30.455968856811523
2,2020-01-03,0,30.075992584228516
3,2020-01-04,0,29.978736877441406
4,2020-01-05,0,30.402299880981445
5,2020-01-06,0,30.79953956604004
6,2020-01-07,0,30.537052154541016
7,2020-01-08,0,30.468481063842773
8,2020-01-09,0,30.459646224975586
9,2020-01-10,0,30.434921264648438
10,2020-01-11,0,30.41129493713379
11,2020-01-12,0,29.98392677307129
12,2020-01-13,0,28.975709915161133
13,2020-01-14,0,29.857532501220703
14,2020-01-15,0,29.535017013549805
15,2020-01-16,0,29.628454208374023
16,2020-01-17,0,30.17991828918457
17,2020-01-18,0,30.29064178466797
18,2020-01-19,0,30.3294620513916
19,2020-01-20,0,30.338218688964844
20,2020-01-21,0,29.93349838256836
21,2020-01-22,0,29.81747055053711
22,2020-01-23,0,30.712108612060547
23,2020-01-24,0,30.427324295043945
24,2020-01-25,0,31.00537872314453
25,2020-01-26,0,30.42728042602539
26,2020-01-27,0,30.474895477294922
27,2020-01-28,0,30.494056701660156
28,2020-01-29,0,30.082963943481445
29,2020-01-30,0,30.801132202148438
30,2020-01-31,0,31.104785919189453
31,2020-02-01,0,31.706745147705078
32,2020-02-02,0,31.529827117919922
33,2020-02-03,0,31.195415496826172
34,2020-02-04,0,31.157859802246094
35,2020-02-05,0,30.193416595458984
36,2020-02-06,0,30.705156326293945
37,2020-02-07,0,29.7266845703125
38,2020-02-08,0,30.741395950317383
39,2020-02-09,0,30.50523567199707
40,2020-02-10,0,30.485382080078125
41,2020-02-11,0,30.581989288330078
42,2020-02-12,0,31.174930572509766
43,2020-02-13,0,31.302156448364258
44,2020-02-14,0,31.34450912475586
45,2020-02-15,0,31.087339401245117
46,2020-02-16,0,31.078628540039062
47,2020-02-17,0,30.178831100463867
48,2020-02-18,0,30.724384307861328
49,2020-02-19,0,30.66021156311035
50,2020-02-20,0,31.008230209350586
51,2020-02-21,0,31.58151626586914
52,2020-02-22,0,31.567771911621094
53,2020-02-23,0,31.855955123901367
54,2020-02-24,0,31.61993408203125
55,2020-02-25,0,31.21316146850586
56,2020-02-26,0,31.52674102783203
57,2020-02-27,0,30.63128662109375
58,2020-02-28,0,30.38153839111328
59,2020-02-29,0,30.31810188293457
60,2020-03-01,0,31.07851219177246
61,2020-03-02,0,31.343170166015625
62,2020-03-03,0,31.751611709594727
63,2020-03-04,0,31.13751792907715
64,2020-03-05,0,30.793638229370117
65,2020-03-06,0,30.6497802734375
66,2020-03-07,0,30.58283233642578
67,2020-03-08,0,30.580373764038086
68,2020-03-09,0,30.595693588256836
69,2020-03-10,0,31.599895477294922
70,2020-03-11,0,31.454910278320312
71,2020-03-12,0,31.24508285522461
72,2020-03-13,0,30.845285415649414
73,2020-03-14,0,31.101842880249023
74,2020-03-15,0,31.394136428833008
75,2020-03-16,0,31.43541145324707
76,2020-03-17,0,31.174850463867188
77,2020-03-18,0,31.152372360229492
78,2020-03-19,0,31.155685424804688
79,2020-03-20,0,31.168596267700195
80,2020-03-21,0,31.51638412475586
81,2020-03-22,0,31.246959686279297
82,2020-03-23,0,30.84201431274414
83,2020-03-24,0,32.18547058105469
84,2020-03-25,0,31.8265323638916
85,2020-03-26,0,32.02976608276367
86,2020-03-27,0,32.0029411315918
87,2020-03-28,0,31.4556827545166
88,2020-03-29,0,32.03768539428711
89,2020-03-30,0,31.406578063964844
90,2020-03-31,0,31.346755981445312
91,2020-04-01,0,31.962955474853516
92,2020-04-02,0,32.04652404785156
93,2020-04-03,0,31.913585662841797
94,2020-04-04,0,32.92424011230469
95,2020-04-05,0,32.57499694824219
96,2020-04-06,0,32.05515670776367
97,2020-04-07,0,31.45481300354004
98,2020-04-08,0,31.345067977905273
99,2020-04-09,0,31.67654800415039
100,2020-04-10,0,31.722970962524414
101,2020-04-11,0,31.532411575317383
102,2020-04-12,0,31.786174774169922
103,2020-04-13,0,31.76542854309082
104,2020-04-14,0,32.461334228515625
105,2020-04-15,0,31.879398345947266
106,2020-04-16,0,31.762914657592773
107,2020-04-17,0,31.654815673828125
108,2020-04-18,0,31.662092208862305
109,2020-04-19,0,31.370262145996094
110,2020-04-20,0,31.353797912597656
111,2020-04-21,0,30.669145584106445
112,2020-04-22,0,31.28556251525879
113,2020-04-23,0,31.16269302368164
114,2020-04-24,0,31.526304244995117
115,2020-04-25,0,31.25743865966797
116,2020-04-26,0,30.256999969482422
117,2020-04-27,0,30.691822052001953
118,2020-04-28,0,30.55482292175293
119,2020-04-29,0,29.854991912841797
120,2020-04-30,0,29.564443588256836
121,2020-05-01,0,29.919456481933594
122,2020-05-02,0,29.50305938720703
123,2020-05-03,0,29.298847198486328
124,2020-05-04,0,29.671884536743164
125,2020-05-05,0,30.162683486938477
126,2020-05-06,0,30.18770980834961
127,2020-05-07,0,30.208229064941406
128,2020-05-08,0,30.246931076049805
129,2020-05-09,0,30.266462326049805
130,2020-05-10,0,30.273157119750977
131,2020-05-11,0,30.689542770385742
132,2020-05-12,0,30.3824462890625
133,2020-05-13,0,30.336841583251953
134,2020-05-14,0,29.9559268951416
135,2020-05-15,0,30.309789657592773
136,2020-05-16,0,30.331689834594727
137,2020-05-17,0,29.93702507019043
138,2020-05-18,0,30.27600860595703
139,2020-05-19,0,30.304134368896484
140,2020-05-20,0,30.699752807617188
141,2020-05-21,0,30.41628646850586
142,2020-05-22,0,30.748300552368164
143,2020-05-23,0,30.459497451782227
144,2020-05-24,0,30.402647018432617
145,2020-05-25,0,30.412870407104492
146,2020-05-26,0,30.411643981933594
147,2020-05-27,0,30.41400909423828
148,2020-05-28,0,30.81755828857422
149,2020-05-29,0,30.51235008239746
150,2020-05-30,0,30.06123161315918
151,2020-05-31,0,29.928478240966797
152,2020-06-01,0,29.861072540283203
153,2020-06-02,0,30.28324317932129
154,2020-06-03,0,29.883453369140625
155,2020-06-04,0,29.765872955322266
156,2020-06-05,0,29.74648094177246
157,2020-06-06,0,29.30656623840332
158,2020-06-07,0,29.13338851928711
159,2020-06-08,0,29.046672821044922
160,2020-06-09,0,28.979856491088867
161,2020-06-10,0,28.92984390258789
162,2020-06-11,0,29.91243553161621
163,2020-06-12,0,29.563085556030273
164,2020-06-13,0,29.151399612426758
165,2020-06-14,0,29.510995864868164
166,2020-06-15,0,30.030559539794922
167,2020-06-16,0,29.639739990234375
168,2020-06-17,0,29.55199432373047
169,2020-06-18,0,29.567731857299805
170,2020-06-19,0,29.570091247558594
171,2020-06-20,0,29.14046859741211
172,2020-06-21,0,29.471893310546875
173,2020-06-22,0,29.066917419433594
174,2020-06-23,0,28.972976684570312
175,2020-06-24,0,28.94998550415039
176,2020-06-25,0,28.922962188720703
177,2020-06-26,0,28.87957191467285
178,2020-06-27,0,29.35717010498047
179,2020-06-28,0,29.39700698852539
180,2020-06-29,0,29.420202255249023
181,2020-06-30,0,29.4647159576416
182,2020-07-01,0,29.48944091796875
183,2020-07-02,0,29.489683151245117
184,2020-07-03,0,29.482933044433594
185,2020-07-04,0,29.480009078979492
186,2020-07-05,0,29.483566284179688
187,2020-07-06,0,29.492496490478516
188,2020-07-07,0,29.98527717590332
189,2020-07-08,0,30.049232482910156
190,2020-07-09,0,29.680891036987305
191,2020-07-10,0,29.616079330444336
