,Date,TruePrecip,PredictedPrecip
0,2020-01-01,0,8.833099365234375
1,2020-01-02,0,3.0688676834106445
2,2020-01-03,0,2.9177141189575195
3,2020-01-04,0,3.289911985397339
4,2020-01-05,0,2.833853006362915
5,2020-01-06,0,1.9868617057800293
6,2020-01-07,0,1.182228922843933
7,2020-01-08,0,2.223572254180908
8,2020-01-09,0,0.6796048283576965
9,2020-01-10,0,0.23443356156349182
10,2020-01-11,0,6.5169572830200195
11,2020-01-12,0,10.676643371582031
12,2020-01-13,0,3.880108594894409
13,2020-01-14,0,8.820111274719238
14,2020-01-15,0,7.917017936706543
15,2020-01-16,0,20.54804801940918
16,2020-01-17,0,7.291268348693848
17,2020-01-18,0,7.157807350158691
18,2020-01-19,0,9.650452613830566
19,2020-01-20,0,7.416094779968262
20,2020-01-21,0,3.691948413848877
21,2020-01-22,0,2.267524003982544
22,2020-01-23,0,3.292036771774292
23,2020-01-24,0,2.381070852279663
24,2020-01-25,0,2.9764773845672607
25,2020-01-26,0,2.5641531944274902
26,2020-01-27,0,4.698329448699951
27,2020-01-28,0,10.508469581604004
28,2020-01-29,0,2.919769287109375
29,2020-01-30,0,1.602830171585083
30,2020-01-31,0,1.8176603317260742
31,2020-02-01,0,1.0171200037002563
32,2020-02-02,0,1.177545189857483
33,2020-02-03,0,2.29907488822937
34,2020-02-04,0,8.216174125671387
35,2020-02-05,0,11.624996185302734
36,2020-02-06,0,10.410330772399902
37,2020-02-07,0,5.056514739990234
38,2020-02-08,0,12.245926856994629
39,2020-02-09,0,11.462932586669922
40,2020-02-10,0,13.681766510009766
41,2020-02-11,0,6.787844657897949
42,2020-02-12,0,4.9504008293151855
43,2020-02-13,0,2.29512619972229
44,2020-02-14,0,4.822017669677734
45,2020-02-15,0,8.852898597717285
46,2020-02-16,0,13.694077491760254
47,2020-02-17,0,17.20439910888672
48,2020-02-18,0,7.035713195800781
49,2020-02-19,0,3.1060471534729004
50,2020-02-20,0,5.10520076751709
51,2020-02-21,0,2.24422025680542
52,2020-02-22,0,1.557425618171692
53,2020-02-23,0,1.4618725776672363
54,2020-02-24,0,1.2347666025161743
55,2020-02-25,0,0.9700344800949097
56,2020-02-26,0,1.0042707920074463
57,2020-02-27,0,8.469427108764648
58,2020-02-28,0,2.8940272331237793
59,2020-02-29,0,0.6442047357559204
60,2020-03-01,0,1.5296553373336792
61,2020-03-02,0,1.2709441184997559
62,2020-03-03,0,7.160280227661133
63,2020-03-04,0,2.1674206256866455
64,2020-03-05,0,1.9227304458618164
65,2020-03-06,0,1.4867956638336182
66,2020-03-07,0,1.0548019409179688
67,2020-03-08,0,1.0819709300994873
68,2020-03-09,0,4.032918453216553
69,2020-03-10,0,1.5237571001052856
70,2020-03-11,0,2.3342952728271484
71,2020-03-12,0,2.199244976043701
72,2020-03-13,0,5.039482116699219
73,2020-03-14,0,2.477773427963257
74,2020-03-15,0,1.8173078298568726
75,2020-03-16,0,7.876461029052734
76,2020-03-17,0,9.88919734954834
77,2020-03-18,0,12.116639137268066
78,2020-03-19,0,3.7101333141326904
79,2020-03-20,0,6.283176898956299
80,2020-03-21,0,10.382471084594727
81,2020-03-22,0,5.834997653961182
82,2020-03-23,0,10.628023147583008
83,2020-03-24,0,2.823669672012329
84,2020-03-25,0,2.1583755016326904
85,2020-03-26,0,3.7028422355651855
86,2020-03-27,0,2.334815502166748
87,2020-03-28,0,1.4027043581008911
88,2020-03-29,0,1.1998273134231567
89,2020-03-30,0,1.095008373260498
90,2020-03-31,0,1.1300182342529297
91,2020-04-01,0,1.1367676258087158
92,2020-04-02,0,1.0754948854446411
93,2020-04-03,0,1.4289478063583374
94,2020-04-04,0,0.9148479104042053
95,2020-04-05,0,0.8110859394073486
96,2020-04-06,0,0.8030155897140503
97,2020-04-07,0,1.0945783853530884
98,2020-04-08,0,0.6936141848564148
99,2020-04-09,0,1.4520692825317383
100,2020-04-10,0,2.7062718868255615
101,2020-04-11,0,4.127720355987549
102,2020-04-12,0,3.017853260040283
103,2020-04-13,0,7.548467636108398
104,2020-04-14,0,4.497810363769531
105,2020-04-15,0,9.235211372375488
106,2020-04-16,0,10.640063285827637
107,2020-04-17,0,15.208205223083496
108,2020-04-18,0,14.744556427001953
109,2020-04-19,0,19.295631408691406
110,2020-04-20,0,9.693567276000977
111,2020-04-21,0,20.46280288696289
112,2020-04-22,0,11.089476585388184
113,2020-04-23,0,12.525908470153809
114,2020-04-24,0,9.87441349029541
115,2020-04-25,0,11.760967254638672
116,2020-04-26,0,3.7028095722198486
117,2020-04-27,0,16.220788955688477
118,2020-04-28,0,42.598854064941406
119,2020-04-29,0,67.990234375
120,2020-04-30,0,43.777164459228516
121,2020-05-01,0,58.54874038696289
122,2020-05-02,0,69.75679016113281
123,2020-05-03,0,12.244933128356934
124,2020-05-04,0,6.1050333976745605
125,2020-05-05,0,2.913051128387451
126,2020-05-06,0,1.3730089664459229
127,2020-05-07,0,1.7476866245269775
128,2020-05-08,0,2.590092182159424
129,2020-05-09,0,2.320371389389038
130,2020-05-10,0,2.745809316635132
131,2020-05-11,0,3.694840908050537
132,2020-05-12,0,12.435279846191406
133,2020-05-13,0,15.46455192565918
134,2020-05-14,0,7.378274440765381
135,2020-05-15,0,6.176679611206055
136,2020-05-16,0,11.11986255645752
137,2020-05-17,0,6.409711837768555
138,2020-05-18,0,10.299187660217285
139,2020-05-19,0,7.048000812530518
140,2020-05-20,0,3.239521026611328
141,2020-05-21,0,6.412377834320068
142,2020-05-22,0,8.10621166229248
