Location,No. of visitors
Sigiriya,"563,039"
Polonnaruwa,"248,510"
Anuradhapura,"100,117"
Galle,"18,170"
Kataragama,104
Dambulla,720
Kandy,220
Apegama,"1,865"
Ritigala,"10,792"
Monaragala,"26,835"
Yapahuwa,"7,213"
Ramba,15
Ibbankatuwa,"1,006"
