Location,No. of visitors
Sigiriya,"562,461"
Polonnaruwa,"234,242"
Anuradhapura,"77,703"
Galle,"15,949"
Kataragama,92
Dambulla,669
Kandy,202
Apegama,"10,635"
Ritigala,"3,380"
