Location,No. of visitors
Sigiriya,"594,917"
Polonnaruwa,"200,224"
Anuradhapura,"100,548"
Galle,"20,461"
Kataragama,88
Dambulla,789
Kandy,353
Apegama,"2,132"
Ritigala,"10,140"
Monaragala,"40,839"
Yapahuwa,"7,511"
Ramba,13
Ibbankatuwa,"1,156"
Namal Uyana,938
