,Date,TrueHumidity,PredictedHumidity
0,2020-01-01,0,81.15570831298828
1,2020-01-02,0,77.4037857055664
2,2020-01-03,0,76.59241485595703
3,2020-01-04,0,74.98746490478516
4,2020-01-05,0,74.560302734375
5,2020-01-06,0,76.19522094726562
6,2020-01-07,0,74.968505859375
7,2020-01-08,0,78.65656280517578
8,2020-01-09,0,78.26460266113281
9,2020-01-10,0,76.17495727539062
10,2020-01-11,0,78.73058319091797
11,2020-01-12,0,80.35734558105469
12,2020-01-13,0,83.2297592163086
13,2020-01-14,0,82.46202087402344
14,2020-01-15,0,82.96754455566406
15,2020-01-16,0,83.28101348876953
16,2020-01-17,0,78.91854858398438
17,2020-01-18,0,73.49767303466797
18,2020-01-19,0,72.78845977783203
19,2020-01-20,0,75.83765411376953
20,2020-01-21,0,77.86264038085938
21,2020-01-22,0,79.46025085449219
22,2020-01-23,0,79.2458267211914
23,2020-01-24,0,79.0147933959961
24,2020-01-25,0,79.71629333496094
25,2020-01-26,0,81.55148315429688
26,2020-01-27,0,81.7164535522461
27,2020-01-28,0,81.36814880371094
28,2020-01-29,0,80.60704040527344
29,2020-01-30,0,74.99658966064453
30,2020-01-31,0,72.89225006103516
31,2020-02-01,0,73.78282165527344
32,2020-02-02,0,77.3818588256836
33,2020-02-03,0,79.98641204833984
34,2020-02-04,0,80.86600494384766
35,2020-02-05,0,83.80656433105469
36,2020-02-06,0,83.2325668334961
37,2020-02-07,0,85.29420471191406
38,2020-02-08,0,81.60649108886719
39,2020-02-09,0,83.87332916259766
40,2020-02-10,0,81.78184509277344
41,2020-02-11,0,82.48602294921875
42,2020-02-12,0,76.94596862792969
43,2020-02-13,0,75.92224884033203
44,2020-02-14,0,76.64171600341797
45,2020-02-15,0,82.16715240478516
46,2020-02-16,0,81.94163513183594
47,2020-02-17,0,83.97638702392578
48,2020-02-18,0,83.02531433105469
49,2020-02-19,0,82.52095031738281
50,2020-02-20,0,82.65755462646484
51,2020-02-21,0,79.44779968261719
52,2020-02-22,0,72.99971771240234
53,2020-02-23,0,73.05608367919922
54,2020-02-24,0,73.6579360961914
55,2020-02-25,0,80.40807342529297
56,2020-02-26,0,78.52374267578125
57,2020-02-27,0,80.94646453857422
58,2020-02-28,0,82.218994140625
59,2020-02-29,0,79.36955261230469
60,2020-03-01,0,78.3375244140625
61,2020-03-02,0,78.79906463623047
62,2020-03-03,0,79.73219299316406
63,2020-03-04,0,80.31242370605469
64,2020-03-05,0,80.18133544921875
65,2020-03-06,0,79.4614028930664
66,2020-03-07,0,78.69583129882812
67,2020-03-08,0,77.95955657958984
68,2020-03-09,0,79.64453125
69,2020-03-10,0,77.90386962890625
70,2020-03-11,0,78.52787017822266
71,2020-03-12,0,78.37621307373047
72,2020-03-13,0,80.83384704589844
73,2020-03-14,0,79.64944458007812
74,2020-03-15,0,77.18270874023438
75,2020-03-16,0,77.87321472167969
76,2020-03-17,0,78.56180572509766
77,2020-03-18,0,80.41191864013672
78,2020-03-19,0,78.77560424804688
79,2020-03-20,0,79.29666137695312
80,2020-03-21,0,79.69247436523438
81,2020-03-22,0,80.55034637451172
82,2020-03-23,0,79.948974609375
83,2020-03-24,0,79.20085906982422
84,2020-03-25,0,77.545166015625
85,2020-03-26,0,76.03257751464844
86,2020-03-27,0,75.49702453613281
87,2020-03-28,0,74.12496185302734
88,2020-03-29,0,75.0899658203125
89,2020-03-30,0,75.88172149658203
90,2020-03-31,0,75.75633239746094
91,2020-04-01,0,73.22856903076172
92,2020-04-02,0,71.0179214477539
93,2020-04-03,0,72.22705078125
94,2020-04-04,0,71.0755386352539
95,2020-04-05,0,72.12715148925781
96,2020-04-06,0,75.10903930664062
97,2020-04-07,0,75.31356811523438
98,2020-04-08,0,73.07369995117188
99,2020-04-09,0,74.630126953125
100,2020-04-10,0,74.25696563720703
101,2020-04-11,0,76.83308410644531
102,2020-04-12,0,77.20703887939453
103,2020-04-13,0,77.47484588623047
104,2020-04-14,0,76.18522644042969
105,2020-04-15,0,77.62567901611328
106,2020-04-16,0,76.40690612792969
107,2020-04-17,0,78.93577575683594
108,2020-04-18,0,78.8933334350586
109,2020-04-19,0,78.4495620727539
110,2020-04-20,0,78.3523941040039
111,2020-04-21,0,80.39990997314453
112,2020-04-22,0,80.53992462158203
113,2020-04-23,0,78.59728240966797
114,2020-04-24,0,77.00824737548828
115,2020-04-25,0,80.20381164550781
116,2020-04-26,0,80.24211883544922
117,2020-04-27,0,79.32215118408203
118,2020-04-28,0,80.63311767578125
119,2020-04-29,0,82.41514587402344
120,2020-04-30,0,83.45945739746094
121,2020-05-01,0,83.69231414794922
122,2020-05-02,0,84.52732849121094
123,2020-05-03,0,85.21897888183594
124,2020-05-04,0,82.26569366455078
125,2020-05-05,0,77.2739028930664
126,2020-05-06,0,78.35795593261719
127,2020-05-07,0,79.06108856201172
128,2020-05-08,0,77.64857482910156
129,2020-05-09,0,79.29393768310547
130,2020-05-10,0,80.27835083007812
131,2020-05-11,0,79.79540252685547
132,2020-05-12,0,81.48780059814453
133,2020-05-13,0,81.55690002441406
134,2020-05-14,0,83.0135269165039
135,2020-05-15,0,80.235595703125
136,2020-05-16,0,83.03960418701172
137,2020-05-17,0,83.29884338378906
138,2020-05-18,0,82.39483642578125
139,2020-05-19,0,81.39517211914062
140,2020-05-20,0,77.77041625976562
141,2020-05-21,0,78.47521209716797
142,2020-05-22,0,77.45082092285156
143,2020-05-23,0,79.15464782714844
144,2020-05-24,0,78.8738021850586
145,2020-05-25,0,78.14277648925781
