,Date,TrueHumidity,PredictedHumidity
0,2019-01-01,73,80.84564208984375
1,2019-02-01,72,75.13501739501953
2,2019-03-01,72,75.88774871826172
3,2019-04-01,71,72.33604431152344
4,2019-05-01,73,74.3935546875
5,2019-06-01,72,75.90213775634766
6,2019-07-01,77,74.02313232421875
7,2019-08-01,77,77.26943969726562
8,2019-09-01,74,77.54325866699219
9,2019-10-01,78,73.86641693115234
10,2019-11-01,81,78.06605529785156
11,2019-12-01,86,77.59805297851562
12,2019-01-13,83,85.24104309082031
13,2019-01-14,83,82.14352416992188
14,2019-01-15,84,82.61976623535156
15,2019-01-16,79,83.4447250366211
16,2019-01-17,73,78.79166412353516
17,2019-01-18,71,72.6895523071289
18,2019-01-19,73,71.08846282958984
19,2019-01-20,75,76.34495544433594
20,2019-01-21,78,76.4838638305664
21,2019-01-22,78,78.24095153808594
22,2019-01-23,78,77.99666595458984
23,2019-01-24,79,78.1307373046875
24,2019-01-25,82,79.10326385498047
25,2019-01-26,82,81.10388946533203
26,2019-01-27,81,81.56803131103516
27,2019-01-28,80,81.21905517578125
28,2019-01-29,73,80.14046478271484
29,2019-01-30,70,73.640869140625
30,2019-01-31,71,71.75076293945312
31,2019-01-02,74,72.44420623779297
32,2019-02-02,78,76.89139556884766
33,2019-03-02,81,79.50094604492188
34,2019-04-02,85,80.46295166015625
35,2019-05-02,84,83.85133361816406
36,2019-06-02,86,82.21041107177734
37,2019-07-02,82,84.51896667480469
38,2019-08-02,83,81.08675384521484
39,2019-09-02,82,82.81319427490234
40,2019-10-02,82,81.6667251586914
41,2019-11-02,75,82.0701675415039
42,2019-12-02,73,75.62818908691406
43,2019-02-13,74,74.67627716064453
44,2019-02-14,82,75.39981842041016
45,2019-02-15,81,80.68255615234375
46,2019-02-16,84,81.35917663574219
47,2019-02-17,83,82.316162109375
48,2019-02-18,82,82.4826431274414
49,2019-02-19,82,80.7779769897461
50,2019-02-20,79,81.2912368774414
51,2019-02-21,72,77.77764129638672
52,2019-02-22,71,70.74996948242188
53,2019-02-23,71,69.95571899414062
54,2019-02-24,78,73.6336898803711
55,2019-02-25,76,77.9309310913086
56,2019-02-26,83,78.61737060546875
57,2019-02-27,82,80.69910430908203
58,2019-02-28,79,80.45291900634766
59,2019-01-03,77,78.44598388671875
60,2019-02-03,77,76.72785186767578
61,2019-03-03,79,78.27820587158203
62,2019-04-03,81,79.36264038085938
63,2019-05-03,79,78.68878173828125
64,2019-06-03,78,78.09353637695312
65,2019-07-03,77,77.7420654296875
66,2019-08-03,76,77.47261810302734
67,2019-09-03,78,76.99462890625
68,2019-10-03,76,78.52178955078125
69,2019-11-03,77,76.65556335449219
70,2019-12-03,77,77.17745208740234
71,2019-03-13,81,76.75735473632812
72,2019-03-14,78,79.03477478027344
73,2019-03-15,75,78.11817169189453
74,2019-03-16,76,75.59616088867188
75,2019-03-17,77,76.26060485839844
76,2019-03-18,80,77.07337951660156
77,2019-03-19,77,79.05197143554688
78,2019-03-20,78,77.4909896850586
79,2019-03-21,79,78.18824005126953
80,2019-03-22,80,78.23660278320312
81,2019-03-23,79,79.43294525146484
82,2019-03-24,78,78.99586486816406
83,2019-03-25,76,78.26228332519531
84,2019-03-26,74,76.33039855957031
85,2019-03-27,73,74.63593292236328
86,2019-03-28,71,74.51188659667969
87,2019-03-29,72,73.30168914794922
88,2019-03-30,73,73.81183624267578
89,2019-03-31,73,74.46401977539062
90,2019-01-04,70,74.08576965332031
91,2019-02-04,67,71.06383514404297
92,2019-03-04,69,69.54266357421875
93,2019-04-04,69,70.18826293945312
94,2019-05-04,69,69.6562728881836
95,2019-06-04,72,70.6357421875
96,2019-07-04,73,72.86174011230469
97,2019-08-04,70,73.2083511352539
98,2019-09-04,72,69.49301147460938
99,2019-10-04,72,72.80095672607422
100,2019-11-04,75,72.87560272216797
101,2019-12-04,76,75.57422637939453
102,2019-04-13,77,76.62802124023438
103,2019-04-14,75,76.64990234375
104,2019-04-15,77,74.61079406738281
105,2019-04-16,75,76.55701446533203
106,2019-04-17,79,75.00501251220703
107,2019-04-18,79,77.03988647460938
108,2019-04-19,78,77.9145278930664
109,2019-04-20,78,78.27952575683594
110,2019-04-21,81,77.81961822509766
111,2019-04-22,81,79.63694763183594
112,2019-04-23,78,78.9234390258789
113,2019-04-24,76,77.64295196533203
114,2019-04-25,80,75.553955078125
115,2019-04-26,80,78.42731475830078
116,2019-04-27,78,78.58712768554688
117,2019-04-28,80,78.64434814453125
118,2019-04-29,83,79.89067840576172
119,2019-04-30,84,81.94993591308594
120,2019-01-05,84,82.3985595703125
121,2019-02-05,85,82.80072021484375
122,2019-03-05,86,83.30543518066406
123,2019-04-05,82,84.16777038574219
124,2019-05-05,76,81.7265853881836
125,2019-06-05,76,76.76111602783203
126,2019-07-05,77,77.32654571533203
127,2019-08-05,75,78.04522705078125
128,2019-09-05,77,75.99193572998047
129,2019-10-05,79,77.90768432617188
130,2019-11-05,78,78.64573669433594
131,2019-12-05,81,78.64295959472656
132,2019-05-13,81,80.89690399169922
133,2019-05-14,83,80.5287857055664
134,2019-05-15,79,82.53981018066406
135,2019-05-16,82,79.29375457763672
136,2019-05-17,84,82.05216217041016
137,2019-05-18,81,82.1410140991211
138,2019-05-19,80,82.14627075195312
139,2019-05-20,76,80.83121490478516
140,2019-05-21,76,76.77945709228516
141,2019-05-22,75,77.31649780273438
142,2019-05-23,77,75.82464599609375
143,2019-05-24,77,77.61204528808594
144,2019-05-25,76,77.6759033203125
145,2019-05-26,79,77.11793518066406
